0, 0, 0
0.0001, 0, 0
0.0002, 0, 0
0.0003, 0, 0
0.0004, 0, 0
0.0005, 0, 0
0.0006, 0, 0
0.0007, 0, 0
0.0008, 0, 0
0.0009, 0, 0
0.001, 0, 0
0.0011, 0, 0
0.0012, 0, 0
0.0013, 0, 0
0.0014, 0, 0
0.0015, 0, 0
0.0016, 0, 0
0.0017, 0, 0
0.0018, 0, 0
0.0019, 0, 0
0.002, 0, 0
0.0021, 0, 0
0.0022, 0, 0
0.0023, 0, 0
0.0024, 0, 0
0.0025, 0, 0
0.0026, 0, 0
0.0027, 0, 0
0.0028, 0, 0
0.0029, 0, 0
0.003, 0, 0
0.0031, 0, 0
0.0032, 0, 0
0.0033, 0, 0
0.0034, 0, 0
0.0035, 0, 0
0.0036, 0, 0
0.0037, 0, 0
0.0038, 0, 0
0.0039, 0, 0
0.004, 0, 0
0.0041, 0, 0
0.0042, 0, 0
0.0043, 0, 0
0.0044, 0, 0
0.0045, 0, 0
0.0046, 0, 0
0.0047, 0, 0
0.0048, 0, 0
0.0049, 0, 0
0.005, 0, 0
0.0051, 0, 0
0.0052, 0, 0
0.0053, 0, 0
0.0054, 0, 0
0.0055, 0, 0
0.0056, 0, 0
0.0057, 0, 0
0.0058, 0, 0
0.0059, 0, 0
0.006, 0, 0
0.0061, 0, 0
0.0062, 0, 0
0.0063, 0, 0
0.0064, 0, 0
0.0065, 0, 0
0.0066, 0, 0
0.0067, 0, 0
0.0068, 0, 0
0.0069, 0, 0
0.007, 0, 0
0.0071, 0, 0
0.0072, 0, 0
0.0073, 0, 0
0.00739999, 0, 0
0.00749999, 0, 0
0.00759999, 0, 0
0.00769999, 0, 0
0.00779999, 0, 0
0.00789999, 0, 0
0.00799999, 0, 0
0.00809999, 0, 0
0.00819999, 0, 0
0.00829999, 0, 0
0.00839999, 0, 0
0.00849999, 0, 0
0.00859999, 0, 0
0.00869999, 0, 0
0.00879999, 0, 0
0.00889999, 0, 0
0.00899999, 0, 0
0.00909999, 0, 0
0.00919999, 0, 0
0.00929999, 0, 0
0.00939999, 0, 0
0.00949999, 0, 0
0.00959999, 0, 0
0.00969999, 0, 0
0.00979999, 0, 0
0.00989999, 0, 0
0.00999999, 0, 0
0.0101, 0, 0
0.0102, 0, 0
0.0103, 0, 0
0.0104, 0, 0
0.0105, 0, 0
0.0106, 0, 0
0.0107, 0, 0
0.0108, 0, 0
0.0109, 0, 0
0.011, 0, 0
0.0111, 0, 0
0.0112, 0, 0
0.0113, 0, 0
